Attraction,Address,Website,Description,Photo URL,Type,Latitude,Longitude
Canal Park,"Canal Park, Duluth, MN 55802",https://duluthmn.gov/parks/parks-trails/parks-listing/canal-park/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://perraultconstruction.com/wp-content/uploads/2023/09/7-copy-scaled.jpg,Waterfront,46.783185,-92.095137
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",https://www.dot.state.mn.us/historicbridges/L6116.html,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929–30, the span was converted to a vertical lift bridge, and continues to operate today.",https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/going-up-duluth-aerial-lift-bridge-susan-rissi-tregoning.jpg,Historic,46.779063,-92.092965
Spirit Mountain Recreation Area,"9500 Spirit Mountain Pl, Duluth, MN 55810",https://spiritmt.com/,Recreational mountain featuring wintertime downhill skiing & a summertime adventure park.,https://www.exploreminnesota.com/sites/default/files/listing_images/3f1fddf787c66e0cc1bbab7cbd1c40605e9f1ccd.jpg,Recreation,46.718267,-92.217024
Glensheen,"3300 London Rd, Duluth, MN 55804",https://tickets.umn.edu/Glensheen/Online/default.asp?BOparam::WScontent::loadArticle::permalink=GLNFullMansion&BOparam::WScontent::loadArticle::context_id=,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://i.pinimg.com/originals/82/26/5e/82265e9292c24bbb325b91f24351915b.jpg,Historic,46.816094,-92.050141
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg,Waterfront,46.779017,-92.100029
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River.",https://www.territorysupply.com/wp-content/uploads/2023/06/Jay-Cooke-State-Park.jpg,Outdoor,46.655541,-92.352052
North Shore Scenic Railroad,"506 W Michigan St, Duluth, MN 55802",http://www.northshorescenicrailroad.org/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",https://visitduluth.com/wp-content/uploads/2021/07/North-Shore-Scenic-Railroad-General-Promo-Photo-8-scaled.jpg,Historic,46.781331,-92.103431
Enger Tower,"1401 Enger Tower Dr, Duluth, MN 55806",https://duluthmn.gov/parks/parks-trails/parks-listing/enger-park/,"Enger Tower is a historic stone observation tower located in Enger Park that offers panoramic views of Duluth and Lake Superior.",https://www.cdg-mn.com/wp-content/gallery/enger-tower/1_Enger01.jpg,Historic,46.776161,-92.124897
Leif Erikson Park,"1301 London Rd, Duluth, MN 55805",https://duluthmn.gov/parks/parks-trails/parks-listing/leif-erikson-park/,"Leif Erikson Park features a scenic rose garden and access to the Lakewalk.",https://tse2.mm.bing.net/th/id/OIP.8iRIyUcx4zcxq8nZgYpAVAHaED?cb=thfc1&rs=1&pid=ImgDetMain&o=7&rm=3,Outdoor,46.796033,-92.082962
Duluth Lakewalk,"Lakewalk, Duluth, MN 55802",https://visitduluth.com/listings/lakewalk/,"The Duluth Lakewalk is a popular waterfront trail along Lake Superior.",https://images.squarespace-cdn.com/content/v1/6255da28cad8211d8f9218f0/99c6ff67-9ac7-4279-84f9-7b327261a572/minnesota+friends+of+the+lakewalk.jpg,Waterfront,46.783254,-92.092951